Horodate;Prod1;"Parking_Harmony1
auto_cons";"Parking_Harmony2
auto_cons";"Particuliers
auto_cons";"PtiteEchoppe
auto_cons";"Azimut
auto_cons";auto_cons_rate
01.01. 00:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 00:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 00:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 00:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 01:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 01:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 01:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 01:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 02:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 02:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 02:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 02:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 03:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 03:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 03:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 03:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 04:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 04:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 04:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 04:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 05:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 05:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 05:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 05:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 06:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 06:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 06:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 06:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 07:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 07:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 07:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 07:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 08:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 08:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 08:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 08:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 09:00;101.75;16,68;10,27;39,78;13,83;21,06;100
01.01. 09:15;101.75;16,68;10,27;39,78;13,83;21,06;100
01.01. 09:30;101.75;16,68;10,27;39,78;13,83;21,06;100
01.01. 09:45;101.75;18,11;11,19;38,46;13,32;20,35;100
01.01. 10:00;1143.2;179,48;109,74;513,29;148,61;188,62;99
01.01. 10:15;1143.2;187,48;115,46;505,29;146,32;185,19;100
01.01. 10:30;1143.2;203,48;124,6;490,43;141,75;179,48;100
01.01. 10:45;1143.2;179,48;109,74;513,29;148,61;188,62;99
01.01. 11:00;1878.98;300,63;186,01;907,54;234,87;244,26;100
01.01. 11:15;1878.98;326,94;201,05;881,24;227,35;236,75;100
01.01. 11:30;1878.98;340,09;208,56;868,08;223,59;232,99;100
01.01. 11:45;1878.98;326,94;201,05;881,24;227,35;236,75;100
01.01. 12:00;2972.18;496,35;303,16;1483,11;365,57;318,02;100
01.01. 12:15;2972.18;514,18;318,02;1462,31;359,63;312,07;100
01.01. 12:30;2972.18;514,18;318,02;1462,31;359,63;312,07;100
01.01. 12:45;2972.18;475,54;291,27;1506,89;371,52;320,99;99
01.01. 13:00;2594.74;435,91;267,25;1284,39;337,31;262,06;100
01.01. 13:15;2594.74;469,64;290,61;1245,47;326,93;254,28;100
01.01. 13:30;2594.74;469,64;290,61;1245,47;326,93;254,28;100
01.01. 13:45;2594.74;435,91;267,25;1284,39;337,31;262,06;100
01.01. 14:00;2620.83;500,57;309,25;1184,61;348,57;269,94;100
01.01. 14:15;2620.83;482,23;296,15;1202,96;356,43;275,18;100
01.01. 14:30;2620.83;463,88;285,67;1223,92;361,67;280,42;100
01.01. 14:45;2620.83;482,23;296,15;1202,96;356,43;275,18;100
01.01. 15:00;1423.7;280,46;172,26;602,22;195,04;169,42;100
01.01. 15:15;1423.7;290,43;177,96;592,25;192,19;166,57;100
01.01. 15:30;1423.7;280,46;172,26;602,22;195,04;169,42;100
01.01. 15:45;1423.7;270,5;166,57;612,19;199,31;172,26;99
01.01. 16:00;604.01;123,82;76,1;235,56;81,54;85,16;100
01.01. 16:15;604.01;110,53;68,25;248,24;86,37;89,39;99
01.01. 16:30;604.01;123,82;76,1;235,56;81,54;85,16;100
01.01. 16:45;604.01;119,59;73,68;239,79;83,35;86,37;99
01.01. 17:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 17:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 17:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 17:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 18:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 18:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 18:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 18:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 19:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 19:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 19:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 19:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 20:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 20:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 20:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 20:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 21:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 21:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 21:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 21:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 22:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 22:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 22:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 22:45;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 23:00;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 23:15;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 23:30;0.0;0,0;0,0;0,0;0,0;0,0;0
01.01. 23:45;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 00:00;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 00:15;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 00:30;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 00:45;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 01:00;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 01:15;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 01:30;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 01:45;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 02:00;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 02:15;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 02:30;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 02:45;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 03:00;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 03:15;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 03:30;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 03:45;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 04:00;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 04:15;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 04:30;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 04:45;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 05:00;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 05:15;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 05:30;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 05:45;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 06:00;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 06:15;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 06:30;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 06:45;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 07:00;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 07:15;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 07:30;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 07:45;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 08:00;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 08:15;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 08:30;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 08:45;0.0;0,0;0,0;0,0;0,0;0,0;0
02.01. 09:00;124.37;23,0;14,17;48,37;15,29;23,25;100
02.01. 09:15;124.37;23,0;14,17;48,37;15,29;23,25;100
02.01. 09:30;124.37;21,39;13,18;49,87;15,67;24,0;100
02.01. 09:45;124.37;22,26;13,68;49,12;15,42;23,63;100
02.01. 10:00;1386.73;264,86;162,24;558,85;174,72;221,87;99
02.01. 10:15;1386.73;255,15;156,7;568,55;177,5;226,03;100
02.01. 10:30;1386.73;264,86;162,24;558,85;174,72;221,87;99
02.01. 10:45;1386.73;245,45;151,15;576,87;180,27;228,81;100
02.01. 11:00;1567.63;286,87;177,14;669,37;211,63;219,46;99
02.01. 11:15;1567.63;297,84;183,41;658,4;206,92;216,33;100
02.01. 11:30;1567.63;286,87;177,14;669,37;211,63;219,46;99
02.01. 11:45;1567.63;286,87;177,14;669,37;211,63;219,46;99
02.01. 12:00;2079.89;382,69;235,02;927,63;282,86;245,42;99
02.01. 12:15;2079.89;382,69;235,02;927,63;282,86;245,42;99
02.01. 12:30;2079.89;411,81;253,74;898,51;272,46;237,1;100
02.01. 12:45;2079.89;399,33;245,42;913,07;276,62;241,26;100
02.01. 13:00;2501.24;482,73;295,14;1088,03;355,17;275,13;100
02.01. 13:15;2501.24;517,75;317,65;1050,52;342,66;265,13;99
02.01. 13:30;2501.24;482,73;295,14;1088,03;355,17;275,13;100
02.01. 13:45;2501.24;482,73;295,14;1088,03;355,17;275,13;100
02.01. 14:00;2970.01;591,03;365,31;1232,55;436,59;338,58;100
02.01. 14:15;2970.01;591,03;365,31;1232,55;436,59;338,58;100
02.01. 14:30;2970.01;591,03;365,31;1232,55;436,59;338,58;100
02.01. 14:45;2970.01;635,58;392,04;1190,97;421,74;326,7;99
02.01. 15:00;1806.8;410,14;251,14;659,48;258,37;224,04;100
02.01. 15:15;1806.8;410,14;251,14;659,48;258,37;224,04;100
02.01. 15:30;1806.8;397,49;243,91;670,32;261,98;227,65;100
02.01. 15:45;1806.8;410,14;251,14;659,48;258,37;224,04;100
02.01. 16:00;794.91;170,9;104,92;285,37;113,67;117,64;99
02.01. 16:15;794.91;165,34;101,74;290,14;115,26;120,03;100
02.01. 16:30;794.91;170,9;104,92;285,37;113,67;117,64;99
02.01. 16:45;794.91;170,9;104,92;285,37;113,67;117,64;99
02.01. 17:00;0.0;0,0;0,0;0,0;0,0;0,0;0
